Task ID;Task Description;Mapped User Stories;Mapped Requirements;Sprint;Status;Estimation (hours);Advance %;Notes
APP-001a;Profile Screen UI Implementation;US-1;;Current Sprint;In Progress;8;60;UI mostly implemented, needs final polish and integration with real data.
APP-001b;Profile Data Integration;US-1.1;FR-1.1.5;Current Sprint;To-do;8;0;UserApi/GOUserRoleApi integration
APP-002a;Session Timeout Implementation;US-1;NFR-4.3;Current Sprint;In Progress;6;80;Session timeout logic present, needs more testing and UI feedback.
APP-002b;Session Restoration;US-1;NFR-3.2;Current Sprint;In Progress;4;90;Auto-restore on launch works
NEW-001;Login Screen Implementation;US-1.1;FR-1.1.1,FR-1.1.2,FR-1.1.3,FR-1.1.4,FR-1.1.6;Current Sprint;Done;8;100;Login screen fully functional and tested.
APP-003;Vehicle State Management;US-5;;Current Sprint;In Progress;8;80;State management logic and UI in place
APP-004;Vehicle Profile Photo Management;US-5;;Current Sprint;In Progress;6;90;Just check where the image of the vehicle is to test that appear correctly if not fix
APP-012;Vehicle List Management (Admin);US-5;;Current Sprint;Done;8;80;Fully functional but need to check and test the indicadors when sessions are actually performed and other indicators like user in session, etc.
NEW-002;Vehicle QR Code Scanner;US-2.1;FR-2.1.1,FR-2.1.2,FR-2.1.3,FR-2.1.4;Current Sprint;To-do;8;0;QR scanner check implementation and test
APP-005a;Basic Checklist UI;US-2.2;FR-2.2.1,FR-2.2.2;Current Sprint;In Progress;10;80;UI and flow working
APP-005b;Checklist Local Storage;US-2.2;;Current Sprint;In Progress;6;70;Local save and sync logic present
NEW-004;Advanced Checklist Features;US-2.2;FR-2.2.3,FR-2.2.4;Current Sprint;To-do;12;0;Not started
APP-006a;Start/End Checklist Session;US-3.1,US-3.2;FR-3.1.1,FR-3.1.2,FR-3.2.1,FR-3.2.2;Current Sprint;In Progress;8;60;Session logic in ViewModel
APP-006b;Checklist Session Tracking;US-3;;Current Sprint;In Progress;4;50;Tracking logic present
APP-007;Checklist History & Reports;US-8;;Current Sprint;To-do;8;0;UserChecklistApi/AnsweredChecklistItemApi integration.
APP-013;Checklist Monitoring (Admin);US-5,US-8;;Current Sprint;To-do;6;0;Not started
APP-008a;Basic Incident Reporting;US-4;FR-4.1.1,FR-4.1.2;Current Sprint;To-do;8;0;UI started, backend integration in progress.
APP-008b;Advanced Incident Reporting;US-4;FR-4.1.3;Current Sprint;To-do;10;0;Not started
APP-009;Incident History;US-8;;Current Sprint;To-do;6;0;IncidentApi/UserChecklistApi.
APP-010;Incident Reports & Analytics;US-8;;Current Sprint;To-do;8;0;Not started
APP-011;User Management (Admin);US-1;;Current Sprint;In Progress;8;30;List and role assignment UI, whole relationed code test in progress
APP-014;Reports & Analytics Dashboard (Admin);US-8;;Current Sprint;To-do;8;0;Not started
APP-015;MockAPI ProfileScreen Migration;US-1,US-1.1;;Current Sprint;To-do;4;0;UserApi/GOUserRoleApi readiness.
APP-016;MockAPI Basic Reports Migration;US-8;;Current Sprint;To-do;4;0;Analytics/reporting APIs.
NEW-009;Security Enhancements;US-1;NFR-4.1;Current Sprint;To-do;8;0;Not started
NEW-007;Safety Gamification Features;US-10;;Future Sprint;Not Started;16;0;Planned for future sprint.
NEW-003;Vehicle Maintenance Management;US-7;;Next Sprint;Not Started;12;0;Planned for next sprint.
NEW-005;Certification Tracking System;US-6;;Next Sprint;Not Started;12;0;Planned for next sprint.
NEW-006;Training Materials Portal;US-9;;Next Sprint;Not Started;10;0;Planned for next sprint.
NEW-008;Localization Support;US-1;NFR-2.2;Next Sprint;Not Started;8;0;Planned for next sprint.
